standard_id,decision,rationale
SOURCE_GRAIN_PRESERVED,Every released source row is retained in FactDischarge.,The audited grain is one released inpatient discharge.
NO_DUPLICATE_REMOVAL,Repeated released-value patterns are not removed.,No durable public discharge identifier exists to prove that repeated rows are erroneous duplicates.
TEXT_NORMALIZATION,Text values are trimmed and blank strings become null.,This prevents whitespace from creating artificial dimension members.
APPROVED_MAPPINGS_ONLY,Only category mappings approved in Notebook 02 are applied.,The physical build must not introduce undocumented business grouping logic.
LOS_TOP_CODE,Released 120+ LOS values are represented as the observable lower bound of 120 days and flagged.,The exact stay duration is unavailable for top-coded rows.
FINANCIAL_VALIDITY,Charges and estimated costs are retained only when numeric and greater than zero.,This implements the Notebook 02 financial valid-record rules.
DETERMINISTIC_KEYS,Dimension surrogate keys are assigned deterministically from sorted natural-key values.,The same source snapshot should generate the same keys across clean reruns.
UNKNOWN_KEY_ZERO,Dimension key 0 represents Unknown / Not Available.,Missing or unresolved dimension values must not remove fact rows.
NO_FACT_IDENTIFIER,No durable patient or discharge identifier is invented.,The public source does not support longitudinal linkage.
BENCHMARK_COLUMNS_DEFERRED,Approved peer-benchmark fact columns are created as typed null placeholders.,Notebook 05 will calculate benchmark values without changing the approved fact-table schema.
PARQUET_EXPORT,Physical model tables are exported as compressed Parquet.,Columnar storage is appropriate for the 2.1-million-row fact table and future Power BI/Fabric workflows.
