table_name,table_type,grain,primary_key,natural_key,unknown_member_required,build_session,business_role,important_caveat
FactDischarge,Fact,One row per released inpatient discharge,,,False,Session 5,"Stores discharge-level foreign keys, LOS, financial amounts, validity flags, and later benchmark values.",No durable public discharge or patient identifier exists.
DimHospital,Dimension,One row per permanent facility identifier,hospital_key,permanent_facility_id,True,Session 5,Hospital and released hospital geography.,Future multi-year loads must test whether hospital attributes change over time.
DimDate,Dimension,One row per available discharge year,date_key,discharge_year,True,Session 5,Annual reporting context.,This does not support monthly trends.
DimService,Dimension,One row per APR-DRG code,service_key,apr_drg_code,True,Session 5,"APR-DRG, MDC, and medical/surgical service classification.",Code-to-description consistency must be validated during the physical build.
DimCaseMix,Dimension,One row per APR severity and mortality-risk combination,case_mix_key,apr_severity_code|apr_mortality_risk,True,Session 5,Released severity and mortality-risk classifications.,These classifications provide context but do not capture all case-complexity differences.
DimDiagnosis,Dimension,One row per released CCSR diagnosis code,diagnosis_key,ccsr_diagnosis_code,True,Session 5,Released diagnosis classification.,The public classification is not a complete clinical history.
DimProcedure,Dimension,One row per released CCSR procedure code,procedure_key,ccsr_procedure_code,True,Session 5,Released procedure classification.,Missing procedure categories remain represented.
DimPatientSegment,Dimension,"One row per age-group, gender, race, and ethnicity combination",patient_segment_key,age_group|gender|race|ethnicity,True,Session 5,Released demographic segmentation.,This is a demographic segment—not a unique patient.
DimGeography,Dimension,One row per released patient ZIP3 value,geography_key,patient_zip3,True,Session 5,Coarse patient-residence geography.,ZIP3 does not identify an exact residence.
DimPayer,Dimension,One row per approved primary-payer group,payer_key,payer_group,True,Session 5,Approved primary-payer classification.,The initial model excludes secondary and tertiary payer roles.
DimAdmissionContext,Dimension,"One row per admission-type, disposition, and ED-indicator combination",admission_context_key,admission_type_group|disposition_group|ed_indicator_group,True,Session 5,Admission-pathway and discharge-disposition context.,Patient disposition must not be treated as an admission-time predictor.
Measures,Measure table,One technical placeholder row,,,False,Session 6,Dedicated location for governed DAX measures.,This table remains disconnected from the star schema.
